"rid","binaryID"
332,"11110011100"
460,"11110101000111011001001"
461,"11110101000111011001000"
462,"1111010100011101100100"
577,"111101010001110101"
629,"1111001111"
676,"111101010001110100"
891,"1111010100011101100111"
904,"111101010001110110001"
926,"111101010001110110000"
971,"1111010100011101100101"
1020,"1111010100011101100110"
1112,"1111010100011101101"
1128,"111101010001110111"
1130,"11110101000111011000"
1143,"111101010001110110011"
1164,"11110011101"
1195,"111101010001110110010"
1256,"10"
1285,"11110101000111011001"
1311,"1111010100011101100"
1366,"111101010001110110"
1391,"11110101000111011"
1407,"1111010100011100"
1454,"11110101000111010"
1484,"1111010100000000"
1495,"1111000"
1506,"11110101000110"
1535,"1111010100000001"
1557,"111101010000001"
1570,"1111010100011101"
1596,"11110101000001"
1607,"11110010"
1635,"1111001110"
1648,"1111010100001"
1686,"111101010001111"
1840,"111100111"
1873,"1111010011"
1909,"111101010001110"
1910,"111100110"
1922,"110"
1928,"111101010000000"
1936,"11110011"
1938,"1111010010"
1959,"11110111"
1967,"1111010100010"
1995,"11110101000111"
2002,"11110101000000"
2027,"111101000"
2036,"1111010100000"
2047,"111101010000"
2050,"111101001"
2062,"11110110"
2076,"11111"
2089,"1111010100011"
2112,"111101010001"
2134,"1111001"
2155,"11110101001"
2156,"111100"
2188,"11110101000"
2189,"11110100"
2238,"111101011"
2277,"1111010101"
2314,"1111010100"
2386,"111101010"
2412,"11110101"
2414,"1111011"
2448,"1111010"
2557,"111101"
2665,"11110"
2672,"1110"
2679,"1111"
2691,"111"
2699,"11"
2731,"1"
