"rid","binaryID"
500,"1010111100011111111110000010100111110011000001111001111010"
510,"101011110001111111111000001010011111001100000111100111100"
516,"10101111000111111111100000101001111100110000011110011101011"
528,"101011110001111111111000001010011111001100000111100111010100"
554,"101011110001111111111000001010011111001100000111100111010101"
565,"10101111000111111111100000101001111100110110"
588,"10101111000111111111100000101001111100110000011110011101010"
599,"1010111100011111111110000010100111110011000001111001110110"
601,"1010111100011111111110000010100111110011000001111001111011"
604,"1010111100011111111110000010100111110011000001111001110101"
620,"101011110001111111111000001010011111001100000111100110"
625,"1010111100011111111110000010100111110011000001111001110111"
650,"1010111100011111111110000010100111110011000001111001110100"
690,"1010111100011111111110000010100111101001111111000011"
692,"10101111000111111111100000101001111100110000011110011111011"
694,"1010111100011111111110000010100111110011011101"
714,"1010111100011111111110000010100111101001111111001001"
721,"101011110001111111111000001010011111001100001"
723,"10101111000111111111100000101001111100110000011110010"
724,"101011110001111111111000001010011111001100000111100111011"
729,"101011110001111111111000001010011111001100000111100111101"
747,"101011110001111111111000001010011111001100000111010"
749,"101011110001111111111000001010011111001100000111100111010"
753,"1010111100011111111110000010100111111010111010101110111101111011100111"
757,"10101111000111111111100000101001111100110000011110011110"
759,"10101111000111111111100000101001111110101110101011101111011000"
762,"101011110001111111111000001010011111001100000111000"
766,"101011110001111111111000001010011111101011101010111011110111101110001"
767,"10101111000111111111100000101001111100110000011110011100"
775,"101011110001111111111000001010011111001100000111001"
776,"10101111000111111111100000101001111100110000011110011111010"
777,"1010111100011111111110000010100111110011000001111001111101"
780,"1010111100011111111110000010100111110011000001111001111100"
781,"1010111100011111111110000010100111111010111010101110111101111011100110"
782,"10101111000111111111100000101001111100110000011110011101"
785,"10101111000111111111100000101001111100110000011100"
787,"1010111100011111111110000010100111110011011100"
790,"101011110001111111111000001010011111001100000111100111110"
792,"1010111100011111111110000010100111110011001"
801,"101011110001111111111000001010011111101011101010111011110111101100"
802,"101011110001111111111000001010011111001100000111100111111"
807,"10101111000111111111100000101001111100110000011110011111"
808,"101011110001111111111000001010011111001101110"
816,"1010111100011111111110000010100111111010111010101110111101101"
822,"101011110001111111111000001010011111001101111"
828,"1010111100011111111110000010100111110011000001111001111"
830,"1010111100011111111110000010100111111010111010101110111101111011101"
837,"10101111000111111111100000101001111100110000011110000"
838,"10101111000111111111100000101001111110101110101011101111011001"
860,"101011110001111111111000001010011111001100000111011"
864,"1010111100011111111110000010100111101001111111000010"
865,"10101111000111111111100000101001111100110000011101"
868,"1010111100011111111110000010100111111010111010101110111101100"
871,"101011110001111111111000001010011111001100000111101101"
876,"1010111100011111111110000010100111111010111010101110110"
880,"101011110001111111111000001010011111001100000111101100"
884,"10101111000111111111100000101001111100110000011110001"
893,"1010111100011111111110000010100111110011000001111001110"
903,"10101111000111111111100000101001111100110000011110111"
906,"1010111100011111111110000010100111110011010"
909,"10101111000111111111100000101001111100110000011110110"
914,"1010111100011111111110000010100111111010111010101110111111"
915,"1010111100011111111110000010100111110011000001111010"
928,"1010111100011111111110000010100111101001111111001000"
930,"10101111000111111111100000101001111100110111"
940,"1010111100011111111110000010100111111010111010101110111110"
944,"1010111100011111111110000010100111110011000001111011"
946,"1010111100011111111110000010100111110011000000"
948,"101011110001111111111000001010011111001100000111100111"
949,"10101111000111111111100000101001111110101110101011011"
954,"101011110001111111111000001010011110100111111100000"
955,"1010111100011111111110000010100111110011000001111000"
958,"1010111100011111111110000010100111111010111010101111"
961,"1010111100011111111110000010100111110011000001110"
965,"1010111100011111111110000010100111110011011"
966,"101011110001111111111000001010011111001100000111101"
967,"10101111000111111111100000101001111100110000011110011"
973,"101011110001111111111000001010011111001111"
974,"101011110001111111111000001010011111101011101010111011110111101101"
977,"10101111000111111111100000101001111100110000011000"
978,"10101111000111111111100000101001111101100"
980,"101011110001111111111000001010011111101011101010111011110111101111"
987,"101011110001111111111000001010011111101011101010111011110111110"
995,"10101111000111111111100000101001111110101110101011101001"
1003,"101011110001111111111000001010011111101011101010111011110111111"
1005,"101011110001111111111000001010011110100111111100001"
1008,"1010111100011111111110000010100111111010111010101110111101111010"
1009,"10101111000111111111100000101001111110101110101011010"
1012,"101011110001111111111000001010011111101011101010111011110111101110000"
1015,"101011110001111111111000001010011111001001"
1016,"10101111000111111111100000101001111100110000011001"
1024,"1010111100011111111110000010100111111010111010101110111101111001"
1036,"10101111000111111111100000101001111010011111110000"
1038,"1010111100011111111110000010100111110011000001100"
1042,"1010111100011111111110000010100111110011000001101"
1043,"101011110001111111111000001010011111001100000110"
1051,"101011110001111111111000001010011110100111111100101"
1053,"101011110001111111111000001010011110100111111100100"
1081,"10101111000111111111100000101001111110101110101011101111010"
1084,"101011110001111111111000001010011111101011101010111011111"
1099,"10101111000111111111100000101001111010011111110011"
1100,"1010111100011111111110000010100111111010111010101101"
1102,"101011110001111111111000001010011111001101"
1107,"1010111100011111111110000010100111110011000001111001"
1108,"101011110001111111111000001010011111001100000111100"
1109,"10101111000111111111100000101001111100110000011110"
1110,"10101111000111111111100000101001111100110000011111"
1111,"1010111100011111111110000010100111110011000001111"
1115,"101011110001111111111000001010011111001100000111"
1116,"101011110001111111111000001010011111101011101010111011110111101110011"
1120,"10101111000111111111100000101001111110101110101011101111011110111000"
1149,"101011110001111111111000001010011111101011101011"
