"rid","binaryID"
4,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110010"
10,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111111100"
13,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100001"
15,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110001"
17,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110100000"
20,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000101011"
21,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011010110100"
23,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000101010"
26,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101101"
33,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111111"
39,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010001"
40,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001101011011"
45,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000000001"
46,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101110"
48,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011000010100"
49,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011000010101"
50,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010000"
52,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111100"
56,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000000000"
58,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011111001"
61,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100001010"
62,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101001"
66,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111111101"
67,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011010110101"
68,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011101000010"
70,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110000"
71,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100001011"
75,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100100011"
