"rid","binaryID"
125,"11001101101000100"
128,"11001101101000101"
146,"1100110110100010"
152,"110011011010010"
157,"110011011011"
161,"1100110110100111110"
178,"1100110110100110"
198,"1100110110100111000"
211,"1100110110100111010"
219,"11001101101001111111"
220,"11001101101001111110"
221,"110011011010011110"
234,"1100110101"
256,"1100110110100111001"
259,"1100110110100111011"
262,"110011011010011100"
271,"1100110110100111111"
277,"11001101111"
284,"110011011010011101"
288,"11001101101001110"
291,"110011011010011111"
300,"11001101110"
327,"1100110110100011"
331,"11100111011"
361,"11001101101001111"
362,"1100110110101"
363,"1100110110100111"
380,"1100110111"
382,"11001101100"
384,"110011011010001"
411,"1100110100"
414,"11100111010"
420,"110011010"
447,"110011011010000"
463,"11111"
515,"110011011010011"
558,"11001101101000"
566,"11001101101001"
569,"1110011110"
575,"1100110110100"
580,"110011011010"
581,"11001101101"
582,"1100110110"
614,"110010"
710,"11100101"
760,"110011011"
778,"1110011101"
786,"11001101"
796,"11001100"
829,"11100110"
854,"1100110"
886,"11110"
922,"1110011100"
962,"1111"
975,"1100111"
990,"1110011111"
1025,"111001111"
1070,"1101"
1085,"111001110"
1096,"11100100"
1106,"11100111"
1145,"1110011"
1162,"11000"
1211,"110011"
1233,"1110010"
1243,"11001"
1248,"1100"
1276,"111001"
1296,"111000"
1363,"11100"
1390,"11101"
1462,"100"
1504,"110"
1513,"1110"
1516,"101"
1614,"111"
1881,"10"
2014,"11"
2053,"1"
