"rid","binaryID"
272,"1101001011001"
370,"1101001011000"
379,"110100101101"
412,"1101001101110"
423,"11010011010"
426,"110100101100"
433,"1101001101111"
434,"110100110111"
437,"1101001010"
457,"110100110110"
458,"1101001100"
459,"11010011011"
471,"1101001101"
495,"110100110"
508,"110100100"
517,"11000011"
534,"110100111"
551,"110101"
552,"1101111010"
559,"110100010"
597,"11010010111"
598,"1101110"
605,"11011111"
608,"11010010110"
617,"1101111011"
618,"110111101"
640,"110111100"
641,"11011110"
675,"11010000"
700,"11000010"
713,"1100001"
748,"110100011"
756,"1101001011"
819,"1100000"
836,"11010001"
852,"1101111"
859,"11010011"
877,"110110"
878,"110111"
879,"11011"
890,"11001"
927,"110001"
934,"110000"
935,"11000"
936,"1100"
938,"110100101"
952,"111"
1002,"11010010"
1133,"1101000"
1212,"1101001"
1271,"110100"
1446,"11010"
1507,"10"
2218,"1101"
2299,"110"
2362,"11"
2508,"1"
