"rid","binaryID"
14,"11111001011001111111110100000011010110100111010001101110000100101000"
25,"111110010110011111111101000000110101101001110100011011100001001010011"
29,"111110010110011111111101000000110101101001110100011011100001001010010"
42,"111110010110011111111101000000110101101001110100011011100110"
47,"111110010110011111111101000000110101101001110100011011100111"
55,"111110010110011111111101000000110101101001110101010101110011011111"
63,"11111001011001111111110100000011010110100111010001101110000100101001"
65,"1111100101100111111111010000001101011010011101010101011100110111101"
72,"111110010110011111111101000000110101101001110100011011100001001011"
73,"1111100101100111111111010000001101011010011101000110111000010010100"
91,"1111100101100111111111010000001101011010011101010101011100110111100"
115,"11111001011001111111110100000011010110100111010101010111001101101"
126,"11111001011001111111110100000011010110100111010101010111001101110"
130,"1111100101100111111111010000001101011010011101000110111000010010101"
149,"11111001011001111111110100000011010110100111010101010111001101100"
150,"1111100101100111111111010000001101011010011101010101011100110110"
154,"111110010110011111111101000000110101101001110100011011100001001010"
155,"111110010110011111111101000000110101101001110101010101110011010"
160,"111110010110011111111101000000110101101001110101010101110011001"
163,"1111100101100111111111010000001101011010011101000110111010"
165,"1111100101100111111111010000001101011010011101010101011101"
168,"1111100101100111111111010000001101011010011101000110110111"
170,"1111100101100111111111010000001101000011"
179,"1111100101100111111111010000001101000010"
180,"111110010110011111111101000000110100010"
182,"1111100101100111111111010000001101011010011101010101011100110000"
192,"1111100101100111111111010000001101011010011101000110111011"
203,"111110010110011111111101000000110100001"
205,"111110010110011111111101000000110101101001110100011011101"
207,"11111001011001111111110100000011010110100111010001101111"
212,"11111001011001111111110100001100"
224,"1111100101100111111111010000001101011010001"
226,"1111100101100111111111010000001101011010011101010101011100110001"
232,"1111100101100111111111010000001101011010011101010101011100111"
236,"11111001011001111111110100000011010110100111010001101110010"
265,"1111100101100111111111010000001101011010011101000110110110"
266,"111110010110011111111101000000110101101001110100011011011"
268,"111110010110011111111101000000110101101001110101010101110011000"
270,"111110010110011111111101000000110101101001110100011011010"
274,"11111001011001111111110100000011010110100111010001101101"
282,"1111100101100111111111010000000111110101101011010"
